id,title,price,domain_id,brand
MLA1245972684,Samsung Neo Qled 4k Qn65qn85ba Qn65qn85bagczb,766999.0,MLA-TELEVISIONS,Samsung
MLA1214813564, Smart Tv Noblex Db58x7500 58  Led 4k Android Tv,210999.0,MLA-TELEVISIONS,Noblex
MLA1466972780,Smart Tv Noblex Dk75x7500pi Led Hdr 4k 75'' Con Google Tv,472999.0,MLA-TELEVISIONS,Noblex
MLA1361490489,Smart Tv LG Ai Thinq 55nano80spa Led Webos 6.0 4k 55  100v/240v,339999.0,MLA-TELEVISIONS,LG
MLA1429296468,Smart Tv LG 55nano80sqa Led Webos 22 4k 55  100v/240v,359999.0,MLA-TELEVISIONS,LG
MLA1131868812,Televisor Samsung 55  Smart Tv Crystal Uhd 4k Au7000,287499.0,MLA-TELEVISIONS,Samsung
MLA1420405672,Smart Tv Samsung The Frame Qled 4k 55''  + Marco Beige,499999.0,MLA-TELEVISIONS,Samsung
MLA1465624078,Smart Tv LG Evo Oled55c2psa Webos 22 4k 55  100v/240v,777999.0,MLA-TELEVISIONS,LG
MLA1451166892,Smart Tv Aoc 50u6125/77g Led Roku Os 4k 50  220v,156999.0,MLA-TELEVISIONS,AOC
MLA1429308342,Smart Tv LG Ai Thinq 60uq8050psb Led Webos 22 4k 60  100v/240v,370999.0,MLA-TELEVISIONS,LG
MLA1364280753,Smart Tv Aoc 50u6295/77g,151199.16,MLA-TELEVISIONS,AOC
MLA1406327682,Smart Tv Hitachi Cdh-le554ksmart26 Led Android Tv 4k 55  100v/240v,201444.0,MLA-TELEVISIONS,Hitachi
MLA1468528854,Smart Tv Samsung Series 6 Qn55q60aagczb Qled Tizen 4k 55  220v - 240v,354999.0,MLA-TELEVISIONS,Samsung
MLA1119810206,Smart Tv Hisense A6 Series 50a64gsv Led 4k 50  220v,194199.0,MLA-TELEVISIONS,Hisense
MLA1330664070,Smart Tv Led 50  LG 50uq8050 Uhd,184999.0,MLA-TELEVISIONS,LG
MLA1105091763,Smart Tv Led 50 Pulgadas Rca And50fxuhd Android 4k Uhd,210998.0,MLA-TELEVISIONS,RCA
MLA1382455514,Smart Tv Enova 50 Pulgadas 4k Uhd Android Tv Frameless,164851.6,MLA-TELEVISIONS,Enova
MLA1264827306,Noblex Dk75x7500,527999.0,MLA-TELEVISIONS,Noblex
MLA1202661011, Smart Tv Noblex Db58x7500pi 58  Led 4k Android Tv,259999.0,MLA-TELEVISIONS,Noblex
MLA1374832965,Smart Tv Philco Pld50us22a Led 4k 50  220v,175799.0,MLA-TELEVISIONS,Philco
MLA1125733990,LG Ai Thinq 70up775 70up7750psb,482999.0,MLA-TELEVISIONS,LG
MLA1282356471,Smart Tv Philco Predicta 94predictatv5521 Oled 4k 55  220v,412999.0,MLA-TELEVISIONS,Philco
MLA1362876319,Smart Tv 4k Led 50 Pulgadas Telefunken Tk5020uk6 Uhd Hdmi,161450.0,MLA-TELEVISIONS,Telefunken
MLA1401595160,Smart Tv Philips 7000 Series 50pud7406/77 Android 10 4k 50 ,206599.0,MLA-TELEVISIONS,Philips
MLA1370676601,Smart Tv Noblex Dq50x9500pi Qled 4k 50'' Black Series Con Google Tv,269999.0,MLA-TELEVISIONS,Noblex
MLA1330624209,Smart Tv Samsung Series 8 Un65bu8000gczb Led Tizen 4k 65  220v - 240v,374999.0,MLA-TELEVISIONS,Samsung
MLA1159892964,Smart Tv Samsung Series 7 Qn85q70aagczb Qled Tizen 4k 85  220v,1099999.0,MLA-TELEVISIONS,Samsung
MLA1127572575,Smart Tv Android Qled 4k 55 Pulgada Tcl L55c715 Bt Hdr Dolby,259999.0,MLA-TELEVISIONS,TCL
